metric,channel,median,p16,p84,threshold,pass_pct
ks,Mcdm,0.029229999999999964,0.013464800000000022,0.05742,0.05,82
ks,Mgas,0.03282,0.014854400000000014,0.05683679999999998,0.05,78
ks,T,0.04081000000000003,0.021391199999999996,0.07339680000000003,0.05,58
eps_mu,Mcdm,0.0017725143362470547,0.00060225614102507,0.0037722745260191327,0.05,100
eps_mu,Mgas,0.002172995055348858,0.0007277861268237652,0.004696326720761944,0.05,100
eps_mu,T,0.00970668689353283,0.003387664558074299,0.023131252286149512,0.05,100
eps_sig,Mcdm,0.01705282623852983,0.00442283103651354,0.03633533388829587,0.1,100
eps_sig,Mgas,0.01606370476416341,0.0043849576888536175,0.0440923454023206,0.1,99
eps_sig,T,0.024699993972618454,0.006960895079412944,0.05703781405669094,0.1,98
jsd,Mcdm,0.001982489727996829,0.0013507430339027723,0.003938425468553387,,
jsd,Mgas,0.0021689778908302038,0.001394868177322334,0.0041396181281356265,,
jsd,T,0.0037570242270510883,0.002161645072163024,0.006266744277699214,,
